Año,Local_ID,Local,Resultado_L,Resultado_V,Visitante_ID,Visitante,Fecha/Grupo,Evento
2005,37,Estudiantes (LP),0,0,17,Boca Juniors,Fecha 15,Torneo Clausura 2005 
2004,17,Boca Juniors,0,0,37,Estudiantes (LP),Fecha 15,Torneo Apertura 2004 
2004,37,Estudiantes (LP),2,2,17,Boca Juniors,Fecha 11,Torneo Clausura 2004 
2003,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 11,Torneo Apertura 2003 
2003,37,Estudiantes (LP),0,2,17,Boca Juniors, Fecha 4,Torneo Clausura 2003
2002,17,Boca Juniors,3,1,37,Estudiantes (LP), Fecha 4,Torneo Apertura 2002
2002,37,Estudiantes (LP),0,1,17,Boca Juniors,Fecha 13,Torneo Clausura 2002 
2001,17,Boca Juniors,4,2,37,Estudiantes (LP),Fecha 13,Torneo Apertura 2001 
2001,37,Estudiantes (LP),1,1,17,Boca Juniors,Fecha 19,Torneo Clausura 2001 
2000,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 19,Torneo Apertura 2000 
2000,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 16,Torneo Clausura 2000 
1999,37,Estudiantes (LP),2,2,17,Boca Juniors,Fecha 16,Torneo Apertura 1999 
1999,37,Estudiantes (LP),1,1,17,Boca Juniors,Fecha 13,Torneo Clausura 1999 
1998,17,Boca Juniors,3,0,37,Estudiantes (LP),Fecha 13,Torneo Apertura 1998 
1998,17,Boca Juniors,0,0,37,Estudiantes (LP), Fecha 6,Torneo Clausura 1998
1997,37,Estudiantes (LP),0,0,17,Boca Juniors, Fecha 6,Torneo Apertura 1997
1997,17,Boca Juniors,2,1,37,Estudiantes (LP), Fecha 1,Torneo Clausura 1997
1996,37,Estudiantes (LP),2,3,17,Boca Juniors, Fecha 1,Torneo Apertura 1996
1996,17,Boca Juniors,1,2,37,Estudiantes (LP),Fecha 18,Torneo Clausura 1996 
1995,37,Estudiantes (LP),2,1,17,Boca Juniors,Fecha 18,Torneo Apertura 1995 
1994,37,Estudiantes (LP),1,2,17,Boca Juniors, Fecha 1,Torneo Clausura 1994
1993,17,Boca Juniors,0,0,37,Estudiantes (LP), Fecha 1,Torneo Apertura 1993
1993,37,Estudiantes (LP),0,0,17,Boca Juniors,Fecha 13,Torneo Clausura 1993 
1992,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 13,Torneo Apertura 1992 
1992,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 17,Torneo Clausura 1992 
1991,37,Estudiantes (LP),1,0,17,Boca Juniors,Fecha 17,Torneo Apertura 1991 
1991,37,Estudiantes (LP),0,0,17,Boca Juniors,Fecha 16,Torneo Clausura 1991 
1990,17,Boca Juniors,0,0,37,Estudiantes (LP),Fecha 16,Campeonato 1990/91 
1989,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 26,Campeonato 1989/90 
1989,37,Estudiantes (LP),1,1,17,Boca Juniors, Fecha 7,Campeonato 1989/90
1988,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 28,Campeonato 1988/89 
1988,17,Boca Juniors,2,0,37,Estudiantes (LP), Fecha 9,Campeonato 1988/89
1987,37,Estudiantes (LP),0,0,17,Boca Juniors,Fecha 20,Campeonato 1987/88 
1987,17,Boca Juniors,1,2,37,Estudiantes (LP), Fecha 1,Campeonato 1987/88
1986,37,Estudiantes (LP),0,3,17,Boca Juniors,Fecha 21,Campeonato 1986/87  
1986,17,Boca Juniors,0,0,37,Estudiantes (LP), Fecha 2,Campeonato 1986/87 
1985,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 32,Campeonato 1985/86  
1985,37,Estudiantes (LP),0,1,17,Boca Juniors,Fecha 13,Campeonato 1985/86  
1984,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 20,Metropolitano 1984 
1984,37,Estudiantes (LP),1,0,17,Boca Juniors, Fecha 1,Metropolitano 1984
1983,37,Estudiantes (LP),2,1,17,Boca Juniors,Fecha 25,Metropolitano 1983 
1983,17,Boca Juniors,3,1,37,Estudiantes (LP), Fecha 6,Metropolitano 1983
1982,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 24,Metropolitano 1982 
1982,17,Boca Juniors,1,0,37,Estudiantes (LP), Fecha 5,Metropolitano 1982
1982,17,Boca Juniors,1,1,37,Estudiantes (LP),Nacional,Torneo Nacional 1982 - Torne
1982,37,Estudiantes (LP),0,0,17,Boca Juniors,Nacional,Torneo Nacional 1982 - Torne
1981,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 30,Metropolitano 1981 
1981,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 13,Metropolitano 1981 
1981,17,Boca Juniors,1,1,37,Estudiantes (LP), Grupo D,Nacional 1981
1981,37,Estudiantes (LP),1,3,17,Boca Juniors, Grupo D,Nacional 1981
1980,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 30,Metropolitano 1980 
1980,37,Estudiantes (LP),1,0,17,Boca Juniors,Fecha 11,Metropolitano 1980 
1979,17,Boca Juniors,2,2,37,Estudiantes (LP), Grupo B,Metropolitano 1979
1979,37,Estudiantes (LP),6,4,17,Boca Juniors, Grupo B,Metropolitano 1979
1979,17,Boca Juniors,1,2,37,Estudiantes (LP), Grupo D,Nacional 1979
1979,37,Estudiantes (LP),1,2,17,Boca Juniors, Grupo D,Nacional 1979
1978,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 25,Metropolitano 1978 
1978,37,Estudiantes (LP),0,1,17,Boca Juniors, Fecha 4,Metropolitano 1978
1977,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 26,Metropolitano 1977 
1977,37,Estudiantes (LP),2,0,17,Boca Juniors, Fecha 3,Metropolitano 1977
1977,37,Estudiantes (LP),0,1,17,Boca Juniors, Grupo B,Nacional 1977
1977,17,Boca Juniors,1,3,37,Estudiantes (LP), Grupo B,Nacional 1977
1976,17,Boca Juniors,1,1,37,Estudiantes (LP),da Final,Metropolitano 1976 - R
1976,17,Boca Juniors,3,0,37,Estudiantes (LP), Grupo A,Metropolitano 1976
1976,37,Estudiantes (LP),0,0,17,Boca Juniors, Grupo A,Metropolitano 1976
1975,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 29,Metropolitano 1975 
1975,37,Estudiantes (LP),1,0,17,Boca Juniors,Fecha 10,Metropolitano 1975 
1974,37,Estudiantes (LP),2,0,17,Boca Juniors, Grupo B,Metropolitano 1974
1974,17,Boca Juniors,2,0,37,Estudiantes (LP), Grupo B,Metropolitano 1974
1974,17,Boca Juniors,1,0,37,Estudiantes (LP), Grupo A,Nacional 1974
1974,37,Estudiantes (LP),0,1,17,Boca Juniors, Grupo A,Nacional 1974
1973,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 33,Metropolitano 1973 
1973,37,Estudiantes (LP),1,1,17,Boca Juniors,Fecha 16,Metropolitano 1973 
1972,17,Boca Juniors,3,2,37,Estudiantes (LP),Fecha 22,Metropolitano 1972 
1972,37,Estudiantes (LP),1,7,17,Boca Juniors, Fecha 5,Metropolitano 1972
1972,37,Estudiantes (LP),0,2,17,Boca Juniors, Grupo B,Nacional 1972
1971,17,Boca Juniors,3,0,37,Estudiantes (LP),Fecha 37,Metropolitano 1971 
1971,37,Estudiantes (LP),3,6,17,Boca Juniors,Fecha 18,Metropolitano 1971 
1971,17,Boca Juniors,2,0,37,Estudiantes (LP), Grupo B,Nacional 1971
1970,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 14,Metropolitano 1970 
1970,17,Boca Juniors,0,0,37,Estudiantes (LP), Grupo B,Nacional 1970
1970,37,Estudiantes (LP),2,1,17,Boca Juniors, Grupo B,Nacional 1970
1969,37,Estudiantes (LP),0,2,17,Boca Juniors, Fecha 2,Nacional 1969
1968,17,Boca Juniors,1,0,37,Estudiantes (LP), Grupo A,Metropolitano 1968
1968,37,Estudiantes (LP),1,1,17,Boca Juniors, Grupo A,Metropolitano 1968
1968,37,Estudiantes (LP),0,1,17,Boca Juniors, Fecha 7,Nacional 1968
1967,17,Boca Juniors,1,0,37,Estudiantes (LP), Grupo A,Metropolitano 1967
1967,37,Estudiantes (LP),1,0,17,Boca Juniors, Grupo A,Metropolitano 1967
1967,17,Boca Juniors,0,0,37,Estudiantes (LP),Fecha 14,Nacional 1967 
1966,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 25,Campeonato 1966 
1966,37,Estudiantes (LP),3,4,17,Boca Juniors, Fecha 6,Campeonato 1966
1965,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 21,Campeonato 1965 
1965,37,Estudiantes (LP),2,2,17,Boca Juniors, Fecha 4,Campeonato 1965
1964,17,Boca Juniors,0,0,37,Estudiantes (LP),Fecha 21,Campeonato 1964 
1964,37,Estudiantes (LP),0,1,17,Boca Juniors, Fecha 6,Campeonato 1964
1963,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 22,Campeonato 1963 
1963,37,Estudiantes (LP),3,1,17,Boca Juniors, Fecha 9,Campeonato 1963
1962,17,Boca Juniors,4,0,37,Estudiantes (LP),Fecha 30,Campeonato 1962 
1962,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 15,Campeonato 1962 
1961,37,Estudiantes (LP),2,2,17,Boca Juniors,Fecha 24,Campeonato 1961 
1961,17,Boca Juniors,4,0,37,Estudiantes (LP), Fecha 9,Campeonato 1961
1960,17,Boca Juniors,4,1,37,Estudiantes (LP),Fecha 16,Campeonato 1960 
1960,37,Estudiantes (LP),1,2,17,Boca Juniors, Fecha 1,Campeonato 1960
1959,17,Boca Juniors,2,2,37,Estudiantes (LP),Fecha 19,Campeonato 1959 
1959,37,Estudiantes (LP),0,1,17,Boca Juniors, Fecha 4,Campeonato 1959
1958,37,Estudiantes (LP),2,5,17,Boca Juniors,Fecha 28,Campeonato 1958 
1958,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 13,Campeonato 1958 
1957,37,Estudiantes (LP),3,1,17,Boca Juniors,Fecha 16,Campeonato 1957 
1957,17,Boca Juniors,1,0,37,Estudiantes (LP), Fecha 1,Campeonato 1957
1956,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 27,Campeonato 1956 
1956,37,Estudiantes (LP),3,3,17,Boca Juniors,Fecha 12,Campeonato 1956 
1955,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 22,Campeonato 1955 
1955,37,Estudiantes (LP),2,1,17,Boca Juniors, Fecha 7,Campeonato 1955
1953,37,Estudiantes (LP),1,0,17,Boca Juniors,Fecha 22,Campeonato 1953 
1953,17,Boca Juniors,0,0,37,Estudiantes (LP), Fecha 7,Campeonato 1953
1952,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 26,Campeonato 1952 
1952,37,Estudiantes (LP),2,0,17,Boca Juniors,Fecha 11,Campeonato 1952 
1951,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 32,Campeonato 1951 
1951,17,Boca Juniors,1,0,37,Estudiantes (LP),Fecha 15,Campeonato 1951 
1950,37,Estudiantes (LP),0,1,17,Boca Juniors,Fecha 30,Campeonato 1950 
1950,17,Boca Juniors,1,2,37,Estudiantes (LP),Fecha 13,Campeonato 1950 
1949,17,Boca Juniors,1,1,37,Estudiantes (LP),Fecha 24,Campeonato 1949 
1949,37,Estudiantes (LP),4,2,17,Boca Juniors, Fecha 7,Campeonato 1949
1948,17,Boca Juniors,1,3,37,Estudiantes (LP),Fecha 26,Campeonato 1948 
1948,37,Estudiantes (LP),1,4,17,Boca Juniors,Fecha 11,Campeonato 1948 
1947,37,Estudiantes (LP),0,3,17,Boca Juniors,Fecha 27,Campeonato 1947 
1947,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 12,Campeonato 1947 
1946,37,Estudiantes (LP),4,1,17,Boca Juniors,Fecha 26,Campeonato 1946 
1946,17,Boca Juniors,3,0,37,Estudiantes (LP),Fecha 11,Campeonato 1946 
1945,17,Boca Juniors,3,1,37,Estudiantes (LP),Fecha 17,Campeonato 1945 
1945,37,Estudiantes (LP),0,1,17,Boca Juniors, Fecha 2,Campeonato 1945
1944,37,Estudiantes (LP),2,1,17,Boca Juniors,Fecha 26,Campeonato 1944 
1944,17,Boca Juniors,4,2,37,Estudiantes (LP),Fecha 11,Campeonato 1944 
1943,37,Estudiantes (LP),0,2,17,Boca Juniors,Fecha 21,Campeonato 1943 
1943,17,Boca Juniors,1,1,37,Estudiantes (LP), Fecha 6,Campeonato 1943
1942,37,Estudiantes (LP),1,0,17,Boca Juniors,Fecha 22,Campeonato 1942 
1942,17,Boca Juniors,2,2,37,Estudiantes (LP), Fecha 7,Campeonato 1942
1941,17,Boca Juniors,2,1,37,Estudiantes (LP),Fecha 16,Campeonato 1941 
1941,37,Estudiantes (LP),1,2,17,Boca Juniors, Fecha 1,Campeonato 1941
1940,17,Boca Juniors,4,2,37,Estudiantes (LP),Fecha 25,Campeonato 1940 
1940,37,Estudiantes (LP),1,1,17,Boca Juniors, Fecha 8,Campeonato 1940
1939,37,Estudiantes (LP),1,1,17,Boca Juniors,Fecha 24,Campeonato 1939 
1939,17,Boca Juniors,4,2,37,Estudiantes (LP), Fecha 7,Campeonato 1939
1938,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 28,Campeonato 1938 
1938,17,Boca Juniors,2,0,37,Estudiantes (LP),Fecha 11,Campeonato 1938 
1937,37,Estudiantes (LP),3,1,17,Boca Juniors,Fecha 30,Campeonato 1937 
1937,17,Boca Juniors,4,1,37,Estudiantes (LP),Fecha 12,Campeonato 1937 
1936,17,Boca Juniors,4,1,37,Estudiantes (LP),Fecha 10,Campeonato 1936 
1936,37,Estudiantes (LP),1,2,17,Boca Juniors,Fecha 10,Copa de Honor 1936 
1935,37,Estudiantes (LP),1,5,17,Boca Juniors,Fecha 28,Campeonato 1935 
1935,17,Boca Juniors,3,0,37,Estudiantes (LP),Fecha 11,Campeonato 1935 
1934,37,Estudiantes (LP),3,1,17,Boca Juniors,Fecha 36,Campeonato 1934 
1934,17,Boca Juniors,4,2,37,Estudiantes (LP),Fecha 21,Campeonato 1934 
1934,37,Estudiantes (LP),3,3,17,Boca Juniors, Fecha 8,Campeonato 1934
1933,17,Boca Juniors,3,2,37,Estudiantes (LP),Fecha 22,Campeonato 1933 
1933,37,Estudiantes (LP),4,3,17,Boca Juniors, Fecha 5,Campeonato 1933
1932,17,Boca Juniors,0,2,37,Estudiantes (LP),Fecha 25,Campeonato 1932 
1932,37,Estudiantes (LP),3,5,17,Boca Juniors, Fecha 8,Campeonato 1932
1931,37,Estudiantes (LP),4,1,17,Boca Juniors,Fecha 32,Campeonato 1931 
1931,17,Boca Juniors,2,2,37,Estudiantes (LP),Fecha 15,Campeonato 1931 
1985,17,Boca Juniors,7,1,38,Estudiantes (RC), Grupo B,Torneo Nacional 1985 
1985,38,Estudiantes (RC),1,1,17,Boca Juniors, Grupo B,Torneo Nacional 1985 
2000,40,Ferro,0,4,17,Boca Juniors, Fecha 6,Torneo Clausura 2000
1999,17,Boca Juniors,2,0,40,Ferro, Fecha 6,Torneo Apertura 1999
1999,17,Boca Juniors,3,0,40,Ferro, Fecha 1,Torneo Clausura 1999
1998,40,Ferro,2,4,17,Boca Juniors, Fecha 1,Torneo Apertura 1998
1998,40,Ferro,4,1,17,Boca Juniors,Fecha 13,Torneo Clausura 1998 
1997,17,Boca Juniors,1,1,40,Ferro,Fecha 13,Torneo Apertura 1997 
1997,17,Boca Juniors,1,1,40,Ferro, Fecha 7,Torneo Clausura 1997
1996,40,Ferro,3,1,17,Boca Juniors, Fecha 7,Torneo Apertura 1996
1996,40,Ferro,1,2,17,Boca Juniors, Fecha 4,Torneo Clausura 1996
1995,17,Boca Juniors,2,2,40,Ferro, Fecha 4,Torneo Apertura 1995
1995,40,Ferro,0,1,17,Boca Juniors,Fecha 14,Torneo Clausura 1995 
1994,17,Boca Juniors,1,1,40,Ferro,Fecha 14,Torneo Apertura 1994 
1994,40,Ferro,1,1,17,Boca Juniors,Fecha 14,Torneo Clausura 1994 
1993,17,Boca Juniors,3,0,40,Ferro,Fecha 14,Torneo Apertura 1993 
1993,40,Ferro,1,2,17,Boca Juniors, Fecha 8,Torneo Clausura 1993
1992,17,Boca Juniors,0,0,40,Ferro, Fecha 8,Torneo Apertura 1992
1992,40,Ferro,0,1,17,Boca Juniors, Fecha 3,Torneo Clausura 1992
1991,17,Boca Juniors,1,0,40,Ferro, Fecha 3,Torneo Apertura 1991
1991,40,Ferro,0,0,17,Boca Juniors, Fecha 9,Torneo Clausura 1991
1990,17,Boca Juniors,1,1,40,Ferro, Fecha 9,Campeonato 1990/91
1989,17,Boca Juniors,0,1,40,Ferro,Fecha 24,Campeonato 1989/90 
1989,40,Ferro,0,0,17,Boca Juniors, Fecha 5,Campeonato 1989/90
1988,17,Boca Juniors,1,0,40,Ferro,Fecha 34,Campeonato 1988/89 
1988,40,Ferro,0,0,17,Boca Juniors,Fecha 15,Campeonato 1988/89 
1987,17,Boca Juniors,1,0,40,Ferro,Fecha 21,Campeonato 1987/88 
1987,40,Ferro,2,1,17,Boca Juniors, Fecha 2,Campeonato 1987/88
1986,17,Boca Juniors,0,3,40,Ferro,Fecha 24,Campeonato 1986/87  
1986,40,Ferro,1,1,17,Boca Juniors, Fecha 5,Campeonato 1986/87 
1985,17,Boca Juniors,1,1,40,Ferro,Fecha 26,Campeonato 1985/86  
1985,40,Ferro,1,1,17,Boca Juniors, Fecha 7,Campeonato 1985/86 
1984,40,Ferro,1,0,17,Boca Juniors,Fecha 21,Metropolitano 1984 
1984,17,Boca Juniors,0,2,40,Ferro, Fecha 2,Metropolitano 1984
1983,17,Boca Juniors,1,2,40,Ferro,Fecha 35,Metropolitano 1983 
1983,40,Ferro,4,0,17,Boca Juniors,Fecha 16,Metropolitano 1983 
1982,17,Boca Juniors,3,0,40,Ferro,Fecha 25,Metropolitano 1982 
1982,40,Ferro,3,0,17,Boca Juniors, Fecha 6,Metropolitano 1982
1981,17,Boca Juniors,1,0,40,Ferro,Fecha 32,Metropolitano 1981 
1981,40,Ferro,0,0,17,Boca Juniors,Fecha 15,Metropolitano 1981 
1980,17,Boca Juniors,3,3,40,Ferro,Fecha 28,Metropolitano 1980 
1980,40,Ferro,1,1,17,Boca Juniors, Fecha 9,Metropolitano 1980
1979,17,Boca Juniors,4,0,40,Ferro, Grupo B,Metropolitano 1979
1979,40,Ferro,2,1,17,Boca Juniors, Grupo B,Metropolitano 1979
1977,17,Boca Juniors,3,1,40,Ferro,Fecha 35,Metropolitano 1977 
1977,40,Ferro,1,0,17,Boca Juniors,Fecha 12,Metropolitano 1977 
1976,17,Boca Juniors,3,2,40,Ferro, Grupo A,Metropolitano 1976
1976,40,Ferro,0,0,17,Boca Juniors, Grupo A,Metropolitano 1976
1975,40,Ferro,1,1,17,Boca Juniors,Fecha 21,Metropolitano 1975 
1975,17,Boca Juniors,2,4,40,Ferro, Fecha 2,Metropolitano 1975
1975,40,Ferro,1,0,17,Boca Juniors, Grupo B,Nacional 1975
1975,17,Boca Juniors,3,0,40,Ferro, Grupo B,Nacional 1975
1974,40,Ferro,0,2,17,Boca Juniors,Playoffs,Metropolitano 1974 
1974,40,Ferro,1,3,17,Boca Juniors, Grupo B,Metropolitano 1974
1974,17,Boca Juniors,0,1,40,Ferro, Grupo B,Metropolitano 1974
1974,17,Boca Juniors,4,1,40,Ferro,da Final,Nacional 1974 - R
1973,40,Ferro,3,2,17,Boca Juniors,Fecha 23,Metropolitano 1973 
1973,17,Boca Juniors,2,1,40,Ferro, Fecha 6,Metropolitano 1973
1973,17,Boca Juniors,4,0,40,Ferro, Grupo B,Nacional 1973
1972,17,Boca Juniors,0,0,40,Ferro,Fecha 18,Metropolitano 1972 
1972,40,Ferro,0,5,17,Boca Juniors, Fecha 1,Metropolitano 1972
1972,17,Boca Juniors,2,1,40,Ferro, Grupo B,Nacional 1972
1971,40,Ferro,0,1,17,Boca Juniors,Fecha 25,Metropolitano 1971 
1971,17,Boca Juniors,1,1,40,Ferro, Fecha 6,Metropolitano 1971
1968,17,Boca Juniors,0,0,40,Ferro, Grupo A,Metropolitano 1968
1968,40,Ferro,0,1,17,Boca Juniors, Grupo A,Metropolitano 1968
1967,40,Ferro,2,2,17,Boca Juniors, Fecha 2,Nacional 1967
1966,40,Ferro,0,0,17,Boca Juniors,Fecha 28,Campeonato 1966 
1966,17,Boca Juniors,1,1,40,Ferro, Fecha 9,Campeonato 1966
1965,17,Boca Juniors,1,0,40,Ferro,Fecha 26,Campeonato 1965 
1965,40,Ferro,3,0,17,Boca Juniors, Fecha 9,Campeonato 1965
1964,17,Boca Juniors,1,0,40,Ferro,Fecha 25,Campeonato 1964 
1964,40,Ferro,0,1,17,Boca Juniors,Fecha 10,Campeonato 1964 
1962,17,Boca Juniors,3,1,40,Ferro,Fecha 25,Campeonato 1962 
1962,40,Ferro,0,1,17,Boca Juniors,Fecha 10,Campeonato 1962 
1961,40,Ferro,1,2,17,Boca Juniors,Fecha 22,Campeonato 1961 
1961,17,Boca Juniors,4,0,40,Ferro, Fecha 7,Campeonato 1961
1960,17,Boca Juniors,4,0,40,Ferro,Fecha 22,Campeonato 1960 
1960,40,Ferro,0,0,17,Boca Juniors, Fecha 7,Campeonato 1960
1959,17,Boca Juniors,1,2,40,Ferro,Fecha 21,Campeonato 1959 
1959,40,Ferro,1,1,17,Boca Juniors, Fecha 6,Campeonato 1959
1957,17,Boca Juniors,1,0,40,Ferro,Fecha 28,Campeonato 1957 
1957,40,Ferro,0,0,17,Boca Juniors,Fecha 13,Campeonato 1957 
1956,40,Ferro,2,2,17,Boca Juniors,Fecha 29,Campeonato 1956 
1956,17,Boca Juniors,3,2,40,Ferro,Fecha 14,Campeonato 1956 
1955,17,Boca Juniors,0,1,40,Ferro,Fecha 18,Campeonato 1955 
1955,40,Ferro,0,0,17,Boca Juniors, Fecha 3,Campeonato 1955
1954,40,Ferro,0,0,17,Boca Juniors,Fecha 26,Campeonato 1954 
1954,17,Boca Juniors,3,1,40,Ferro,Fecha 11,Campeonato 1954 
1953,17,Boca Juniors,1,0,40,Ferro,Fecha 20,Campeonato 1953 
1953,40,Ferro,2,2,17,Boca Juniors, Fecha 5,Campeonato 1953
1952,40,Ferro,0,0,17,Boca Juniors,Fecha 21,Campeonato 1952 
1952,17,Boca Juniors,1,2,40,Ferro, Fecha 6,Campeonato 1952
1951,40,Ferro,1,2,17,Boca Juniors,Fecha 34,Campeonato 1951 
1951,17,Boca Juniors,0,1,40,Ferro,Fecha 17,Campeonato 1951 
1950,40,Ferro,1,1,17,Boca Juniors,Fecha 32,Campeonato 1950 
1950,17,Boca Juniors,1,0,40,Ferro,Fecha 15,Campeonato 1950 
1949,40,Ferro,1,1,17,Boca Juniors,Fecha 21,Campeonato 1949 
1949,17,Boca Juniors,2,2,40,Ferro, Fecha 4,Campeonato 1949
1946,17,Boca Juniors,6,0,40,Ferro,Fecha 17,Campeonato 1946 
1946,40,Ferro,0,4,17,Boca Juniors, Fecha 2,Campeonato 1946
1945,40,Ferro,1,2,17,Boca Juniors,Fecha 27,Campeonato 1945 
1945,17,Boca Juniors,2,1,40,Ferro,Fecha 12,Campeonato 1945 
1944,40,Ferro,0,2,17,Boca Juniors,Fecha 16,Campeonato 1944 
1944,17,Boca Juniors,5,0,40,Ferro, Fecha 1,Campeonato 1944
1943,40,Ferro,0,2,17,Boca Juniors,Fecha 30,Campeonato 1943 
1943,17,Boca Juniors,2,0,40,Ferro,Fecha 15,Campeonato 1943 
1942,17,Boca Juniors,1,0,40,Ferro,Fecha 19,Campeonato 1942 
1942,40,Ferro,3,1,17,Boca Juniors, Fecha 4,Campeonato 1942
1941,17,Boca Juniors,3,0,40,Ferro,Fecha 24,Campeonato 1941 
1941,40,Ferro,3,1,17,Boca Juniors, Fecha 9,Campeonato 1941
1940,40,Ferro,0,3,17,Boca Juniors,Fecha 20,Campeonato 1940 
1940,17,Boca Juniors,1,1,40,Ferro, Fecha 3,Campeonato 1940
1939,17,Boca Juniors,1,0,40,Ferro,Fecha 34,Campeonato 1939 
1939,40,Ferro,3,4,17,Boca Juniors,Fecha 17,Campeonato 1939 
1938,17,Boca Juniors,1,2,40,Ferro,Fecha 18,Campeonato 1938 
1938,40,Ferro,1,1,17,Boca Juniors, Fecha 1,Campeonato 1938
1937,17,Boca Juniors,3,2,40,Ferro,Fecha 31,Campeonato 1937 
1937,40,Ferro,2,2,17,Boca Juniors,Fecha 13,Campeonato 1937 
1936,40,Ferro,2,1,17,Boca Juniors,Fecha 14,Campeonato 1936 
1936,17,Boca Juniors,5,1,40,Ferro,Fecha 14,Copa de Honor 1936 
1935,17,Boca Juniors,2,0,40,Ferro,Fecha 29,Campeonato 1935 
1935,40,Ferro,4,4,17,Boca Juniors,Fecha 12,Campeonato 1935 
1934,40,Ferro,2,6,17,Boca Juniors,Fecha 29,Campeonato 1934 
1934,17,Boca Juniors,4,2,40,Ferro,Fecha 24,Campeonato 1934 
1934,40,Ferro,1,3,17,Boca Juniors,Fecha 11,Campeonato 1934 
1933,40,Ferro,0,4,17,Boca Juniors,Fecha 27,Campeonato 1933 
1933,17,Boca Juniors,4,1,40,Ferro,Fecha 10,Campeonato 1933 
1932,40,Ferro,1,1,17,Boca Juniors,Fecha 26,Campeonato 1932 
1932,17,Boca Juniors,3,1,40,Ferro, Fecha 9,Campeonato 1932
1931,17,Boca Juniors,3,3,40,Ferro,Fecha 21,Campeonato 1931 
1931,40,Ferro,1,2,17,Boca Juniors, Fecha 4,Campeonato 1931
2009,42,Gimnasia (J),1,2,17,Boca Juniors, Fecha 1,Torneo Clausura 2009
2008,17,Boca Juniors,4,0,42,Gimnasia (J), Fecha 1,Torneo Apertura 2008
2008,42,Gimnasia (J),1,2,17,Boca Juniors,Fecha 10,Torneo Clausura 2008 
2007,17,Boca Juniors,2,2,42,Gimnasia (J),Fecha 10,Torneo Apertura 2007 
2007,17,Boca Juniors,3,1,42,Gimnasia (J),Fecha 16,Torneo Clausura 2007 
2006,42,Gimnasia (J),1,2,17,Boca Juniors,Fecha 16,Torneo Apertura 2006 
2006,42,Gimnasia (J),2,1,17,Boca Juniors, Fecha 1,Torneo Clausura 2006
2005,17,Boca Juniors,4,1,42,Gimnasia (J), Fecha 1,Torneo Apertura 2005
2000,17,Boca Juniors,0,1,42,Gimnasia (J), Fecha 9,Torneo Clausura 2000
1999,42,Gimnasia (J),1,3,17,Boca Juniors, Fecha 9,Torneo Apertura 1999
1999,42,Gimnasia (J),0,2,17,Boca Juniors, Fecha 2,Torneo Clausura 1999
1998,17,Boca Juniors,3,2,42,Gimnasia (J), Fecha 2,Torneo Apertura 1998
1998,17,Boca Juniors,0,0,42,Gimnasia (J), Fecha 8,Torneo Clausura 1998
1997,42,Gimnasia (J),0,3,17,Boca Juniors, Fecha 8,Torneo Apertura 1997
1997,42,Gimnasia (J),0,0,17,Boca Juniors,Fecha 19,Torneo Clausura 1997 
1996,17,Boca Juniors,0,1,42,Gimnasia (J),Fecha 19,Torneo Apertura 1996 
1996,17,Boca Juniors,4,0,42,Gimnasia (J), Fecha 1,Torneo Clausura 1996
1995,42,Gimnasia (J),1,2,17,Boca Juniors, Fecha 1,Torneo Apertura 1995
1995,17,Boca Juniors,3,1,42,Gimnasia (J),Fecha 19,Torneo Clausura 1995 
1994,42,Gimnasia (J),3,2,17,Boca Juniors,Fecha 19,Torneo Apertura 1994 
1976,42,Gimnasia (J),0,0,17,Boca Juniors, Grupo A,Nacional 1976
1976,17,Boca Juniors,3,1,42,Gimnasia (J), Grupo A,Nacional 1976
1973,17,Boca Juniors,2,1,42,Gimnasia (J), Grupo B,Nacional 1973
