Año,Local_ID,Local,Resultado_L,Resultado_V,Visitante_ID,Visitante,Fecha/Grupo,Evento
1999,7,Argentinos,1,1,17,Boca Juniors, Fecha 5,Torneo Apertura 1999
1999,7,Argentinos,0,3,17,Boca Juniors, Fecha 3,Torneo Clausura 1999
1998,17,Boca Juniors,2,2,7,Argentinos, Fecha 3,Torneo Apertura 1998
1998,7,Argentinos,1,3,17,Boca Juniors, Fecha 1,Torneo Clausura 1998
1997,17,Boca Juniors,4,2,7,Argentinos, Fecha 1,Torneo Apertura 1997
1996,17,Boca Juniors,4,1,7,Argentinos,Fecha 10,Torneo Clausura 1996 
1995,7,Argentinos,0,1,17,Boca Juniors,Fecha 10,Torneo Apertura 1995 
1995,17,Boca Juniors,2,3,7,Argentinos,Fecha 13,Torneo Clausura 1995 
1994,7,Argentinos,0,0,17,Boca Juniors,Fecha 13,Torneo Apertura 1994 
1994,17,Boca Juniors,2,2,7,Argentinos,Fecha 13,Torneo Clausura 1994 
1993,7,Argentinos,1,1,17,Boca Juniors,Fecha 13,Torneo Apertura 1993 
1993,17,Boca Juniors,0,1,7,Argentinos, Fecha 9,Torneo Clausura 1993
1992,7,Argentinos,0,1,17,Boca Juniors, Fecha 9,Torneo Apertura 1992
1992,17,Boca Juniors,1,0,7,Argentinos, Fecha 4,Torneo Clausura 1992
1991,7,Argentinos,3,1,17,Boca Juniors, Fecha 4,Torneo Apertura 1991
1991,7,Argentinos,0,2,17,Boca Juniors,rtadores,Torneo Clausura 1991 - Liguilla Li
1991,17,Boca Juniors,0,1,7,Argentinos,rtadores,Torneo Clausura 1991 - Liguilla Li
1991,7,Argentinos,1,3,17,Boca Juniors, Fecha 1,Torneo Clausura 1991
1990,17,Boca Juniors,3,2,7,Argentinos, Fecha 1,Campeonato 1990/91
1989,17,Boca Juniors,2,2,7,Argentinos,Fecha 31,Campeonato 1989/90 
1989,7,Argentinos,0,0,17,Boca Juniors,Fecha 12,Campeonato 1989/90 
1988,7,Argentinos,4,3,17,Boca Juniors,Fecha 24,Campeonato 1988/89 
1988,17,Boca Juniors,2,0,7,Argentinos, Fecha 5,Campeonato 1988/89
1987,7,Argentinos,3,1,17,Boca Juniors,Fecha 31,Campeonato 1987/88 
1987,17,Boca Juniors,1,0,7,Argentinos,Fecha 12,Campeonato 1987/88 
1986,17,Boca Juniors,2,3,7,Argentinos,Fecha 31,Campeonato 1986/87  
1986,7,Argentinos,1,2,17,Boca Juniors,Fecha 12,Campeonato 1986/87  
1985,17,Boca Juniors,3,2,7,Argentinos,Fecha 34,Campeonato 1985/86  
1985,7,Argentinos,1,0,17,Boca Juniors,Fecha 15,Campeonato 1985/86  
1984,17,Boca Juniors,1,5,7,Argentinos,Fecha 31,Metropolitano 1984 
1984,7,Argentinos,3,0,17,Boca Juniors,Fecha 12,Metropolitano 1984 
1983,17,Boca Juniors,2,1,7,Argentinos,Fecha 26,Metropolitano 1983 
1983,7,Argentinos,1,2,17,Boca Juniors, Fecha 7,Metropolitano 1983
1983,7,Argentinos,3,2,17,Boca Juniors,Nacional,Torneo Nacional 1983 - Torne
1983,17,Boca Juniors,1,1,7,Argentinos,Nacional,Torneo Nacional 1983 - Torne
1982,7,Argentinos,0,0,17,Boca Juniors,Fecha 30,Metropolitano 1982 
1982,17,Boca Juniors,2,2,7,Argentinos,Fecha 11,Metropolitano 1982 
1981,7,Argentinos,2,2,17,Boca Juniors,Fecha 29,Metropolitano 1981 
1981,17,Boca Juniors,2,0,7,Argentinos,Fecha 12,Metropolitano 1981 
1980,7,Argentinos,1,1,17,Boca Juniors,Fecha 27,Metropolitano 1980 
1980,17,Boca Juniors,2,1,7,Argentinos, Fecha 8,Metropolitano 1980
1980,7,Argentinos,5,3,17,Boca Juniors, Grupo B,Nacional 1980
1980,17,Boca Juniors,3,4,7,Argentinos, Grupo B,Nacional 1980
1978,17,Boca Juniors,1,1,7,Argentinos,Fecha 23,Metropolitano 1978 
1978,7,Argentinos,1,0,17,Boca Juniors, Fecha 2,Metropolitano 1978
1977,17,Boca Juniors,1,2,7,Argentinos,Fecha 43,Metropolitano 1977 
1977,7,Argentinos,0,1,17,Boca Juniors,Fecha 20,Metropolitano 1977 
1975,17,Boca Juniors,3,2,7,Argentinos,Fecha 27,Metropolitano 1975 
1975,7,Argentinos,1,4,17,Boca Juniors, Fecha 8,Metropolitano 1975
1975,7,Argentinos,6,3,17,Boca Juniors, Grupo B,Nacional 1975
1975,17,Boca Juniors,2,1,7,Argentinos, Grupo B,Nacional 1975
1974,7,Argentinos,0,0,17,Boca Juniors, Grupo B,Metropolitano 1974
1974,17,Boca Juniors,7,1,7,Argentinos, Grupo B,Metropolitano 1974
1973,17,Boca Juniors,3,1,7,Argentinos,Fecha 27,Metropolitano 1973 
1973,7,Argentinos,0,0,17,Boca Juniors,Fecha 10,Metropolitano 1973 
1973,17,Boca Juniors,1,0,7,Argentinos, Grupo B,Nacional 1973
1972,17,Boca Juniors,1,1,7,Argentinos,Fecha 31,Metropolitano 1972 
1972,7,Argentinos,0,2,17,Boca Juniors,Fecha 14,Metropolitano 1972 
1972,7,Argentinos,2,3,17,Boca Juniors, Grupo B,Nacional 1972
1971,17,Boca Juniors,0,0,7,Argentinos,Fecha 26,Metropolitano 1971 
1971,7,Argentinos,2,3,17,Boca Juniors, Fecha 7,Metropolitano 1971
1970,7,Argentinos,1,0,17,Boca Juniors,Fecha 20,Metropolitano 1970 
1967,17,Boca Juniors,1,1,7,Argentinos, Grupo A,Metropolitano 1967
1967,7,Argentinos,2,3,17,Boca Juniors, Grupo A,Metropolitano 1967
1966,17,Boca Juniors,1,0,7,Argentinos,Fecha 27,Campeonato 1966 
1966,7,Argentinos,0,2,17,Boca Juniors, Fecha 8,Campeonato 1966
1965,7,Argentinos,0,1,17,Boca Juniors,Fecha 25,Campeonato 1965 
1965,17,Boca Juniors,1,1,7,Argentinos, Fecha 8,Campeonato 1965
1964,17,Boca Juniors,1,0,7,Argentinos,Fecha 23,Campeonato 1964 
1964,7,Argentinos,0,0,17,Boca Juniors, Fecha 8,Campeonato 1964
1963,17,Boca Juniors,0,0,7,Argentinos,Fecha 14,Campeonato 1963 
1963,7,Argentinos,1,4,17,Boca Juniors, Fecha 1,Campeonato 1963
1962,7,Argentinos,0,2,17,Boca Juniors,Fecha 26,Campeonato 1962 
1962,17,Boca Juniors,2,1,7,Argentinos,Fecha 11,Campeonato 1962 
1961,17,Boca Juniors,1,3,7,Argentinos,Fecha 21,Campeonato 1961 
1961,7,Argentinos,0,3,17,Boca Juniors, Fecha 6,Campeonato 1961
1960,7,Argentinos,2,0,17,Boca Juniors,Fecha 21,Campeonato 1960 
1960,17,Boca Juniors,0,0,7,Argentinos, Fecha 6,Campeonato 1960
1959,7,Argentinos,3,1,17,Boca Juniors,Fecha 20,Campeonato 1959 
1959,17,Boca Juniors,0,3,7,Argentinos, Fecha 5,Campeonato 1959
1958,7,Argentinos,1,0,17,Boca Juniors,Fecha 16,Campeonato 1958 
1958,17,Boca Juniors,1,1,7,Argentinos, Fecha 1,Campeonato 1958
1957,7,Argentinos,0,0,17,Boca Juniors,Fecha 27,Campeonato 1957 
1957,17,Boca Juniors,0,1,7,Argentinos,Fecha 12,Campeonato 1957 
1956,7,Argentinos,1,1,17,Boca Juniors,Fecha 22,Campeonato 1956 
1956,17,Boca Juniors,6,3,7,Argentinos, Fecha 7,Campeonato 1956
1937,7,Argentinos,1,3,17,Boca Juniors,Fecha 25,Campeonato 1937 
1937,17,Boca Juniors,7,0,7,Argentinos, Fecha 7,Campeonato 1937
1936,7,Argentinos,1,5,17,Boca Juniors,Fecha 16,Campeonato 1936 
1936,17,Boca Juniors,5,1,7,Argentinos,Fecha 16,Copa de Honor 1936 
1935,7,Argentinos,1,3,17,Boca Juniors,Fecha 20,Campeonato 1935 
1935,17,Boca Juniors,4,0,7,Argentinos, Fecha 3,Campeonato 1935
1934,17,Boca Juniors,4,2,7,Argentinos,Fecha 33,Campeonato 1934 
1934,17,Boca Juniors,3,2,7,Argentinos,Fecha 26,Campeonato 1934 
1933,7,Argentinos,2,3,17,Boca Juniors,Fecha 25,Campeonato 1933 
1933,17,Boca Juniors,6,2,7,Argentinos, Fecha 8,Campeonato 1933
1932,7,Argentinos,1,2,17,Boca Juniors,Fecha 24,Campeonato 1932 
1932,17,Boca Juniors,2,2,7,Argentinos, Fecha 7,Campeonato 1932
1931,7,Argentinos,0,5,17,Boca Juniors,Fecha 27,Campeonato 1931 
1931,17,Boca Juniors,2,1,7,Argentinos,Fecha 10,Campeonato 1931 
2019,17,Boca Juniors,5,1,8,Arsenal,Fecha 12,Superliga 2019/20 
2017,17,Boca Juniors,2,0,8,Arsenal,Fecha 11,Superliga 2017/18 
2016,17,Boca Juniors,3,0,8,Arsenal,Fecha 22,Campeonato 2016/17 
2015,8,Arsenal,1,2,17,Boca Juniors,Fecha 20,Campeonato 2015 
2014,8,Arsenal,1,1,17,Boca Juniors,Fecha 16,Torneo de Transicion 2014 
2014,17,Boca Juniors,4,2,8,Arsenal,Fecha 16,Torneo Final 2014 
2013,8,Arsenal,3,2,17,Boca Juniors,Fecha 16,Torneo Inicial 2013 
2013,17,Boca Juniors,1,0,8,Arsenal,Fecha 18,Torneo Final 2013 
2012,8,Arsenal,1,0,17,Boca Juniors,Fecha 18,Torneo Inicial 2012 
2012,17,Boca Juniors,0,3,8,Arsenal,Fecha 18,Torneo Clausura 2012 
2011,8,Arsenal,2,2,17,Boca Juniors,Fecha 18,Torneo Apertura 2011 
2011,8,Arsenal,2,2,17,Boca Juniors,Fecha 15,Torneo Clausura 2011 
2010,17,Boca Juniors,2,1,8,Arsenal,Fecha 15,Torneo Apertura 2010 
2010,17,Boca Juniors,4,0,8,Arsenal,Fecha 14,Torneo Clausura 2010 
2009,8,Arsenal,1,1,17,Boca Juniors,Fecha 14,Torneo Apertura 2009 
2009,17,Boca Juniors,2,1,8,Arsenal,Fecha 14,Torneo Clausura 2009 
2008,8,Arsenal,0,1,17,Boca Juniors,Fecha 14,Torneo Apertura 2008 
2008,17,Boca Juniors,3,1,8,Arsenal,Fecha 17,Torneo Clausura 2008 
2007,8,Arsenal,2,1,17,Boca Juniors,Fecha 17,Torneo Apertura 2007 
2007,17,Boca Juniors,1,1,8,Arsenal,Fecha 14,Torneo Clausura 2007 
2006,8,Arsenal,1,2,17,Boca Juniors,Fecha 14,Torneo Apertura 2006 
2006,17,Boca Juniors,1,0,8,Arsenal,Fecha 15,Torneo Clausura 2006 
2005,8,Arsenal,4,1,17,Boca Juniors,Fecha 15,Torneo Apertura 2005 
2005,17,Boca Juniors,1,3,8,Arsenal,Fecha 16,Torneo Clausura 2005 
2004,8,Arsenal,1,0,17,Boca Juniors,Fecha 16,Torneo Apertura 2004 
2004,17,Boca Juniors,3,0,8,Arsenal,Fecha 16,Torneo Clausura 2004 
2003,8,Arsenal,1,2,17,Boca Juniors,Fecha 16,Torneo Apertura 2003 
2003,17,Boca Juniors,2,2,8,Arsenal,Fecha 16,Torneo Clausura 2003 
2002,8,Arsenal,0,1,17,Boca Juniors,Fecha 16,Torneo Apertura 2002 
2016,10,Atl Rafaela,0,0,17,Boca Juniors,Fecha 21,Campeonato 2016/17 
2016,17,Boca Juniors,3,0,10,Atl Rafaela, Fecha 9,Torneo 2016
2015,17,Boca Juniors,1,0,10,Atl Rafaela, Fecha 3,Campeonato 2015
2014,17,Boca Juniors,0,3,10,Atl Rafaela, Fecha 3,Torneo de Transicion 2014
2014,10,Atl Rafaela,1,0,17,Boca Juniors, Fecha 3,Torneo Final 2014
2013,17,Boca Juniors,2,1,10,Atl Rafaela, Fecha 3,Torneo Inicial 2013
2013,10,Atl Rafaela,1,1,17,Boca Juniors, Fecha 5,Torneo Final 2013
