0,1,2,3,4,5
,,,,,
"Mié., 8 de Dic.",Talleres (Córdoba),0 - 0Boca Juniors ganó 5-4 en penales,Boca Juniors,Final - Pen,Copa Argentina
,,,,,
"Mié., 3 de Nov.",Boca Juniors,1 - 0,Argentinos Juniors,Finalizado,Copa Argentina
,,,,,
"Mié., 22 de Sep.",Boca Juniors,0 - 0Boca Juniors ganó 4-2 en penales,Patronato,Final - Pen,Copa Argentina
,,,,,
"Mié., 4 de Ago.",Boca Juniors,0 - 0Boca Juniors ganó 4-1 en penales,River Plate,Final - Pen,Copa Argentina
,,,,,
"Mié., 24 de Mar.",Boca Juniors,3 - 0,Defensores de Belgrano,Finalizado,Copa Argentina
"Mié., 3 de Mar.",Boca Juniors,2 - 1,Claypole,Finalizado,Copa Argentina
,,,,,
"Dom., 17 de Ene.",Banfield,1 - 1Boca Juniors ganó 5-3 en penales,Boca Juniors,Final - Pen,Liga Profesional de Argentina
"Mié., 13 de Ene.",Santos,3 - 0Vuelta,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 9 de Ene.",Argentinos Juniors,2 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 6 de Ene.",Boca Juniors,0 - 0Ida,Santos,Finalizado,CONMEBOL Libertadores
"Sáb., 2 de Ene.",Boca Juniors,2 - 2,River Plate,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 27 de Dic.",Boca Juniors,3 - 0,Huracán,Finalizado,Liga Profesional de Argentina
"Mié., 23 de Dic.",Boca Juniors,2 - 0Vuelta · Boca Juniors gana 2-1 en marcador global,Racing Club,Finalizado,CONMEBOL Libertadores
"Dom., 20 de Dic.",Independiente,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 16 de Dic.",Racing Club,1 - 0Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 12 de Dic.",Boca Juniors,1 - 1,Arsenal Sarandi,Finalizado,Liga Profesional de Argentina
"Mié., 9 de Dic.",Boca Juniors,0 - 1Vuelta · Empate 1-1 en marcador global · Internacional ganó 4-5 en penales,Internacional,Final - Pen,CONMEBOL Libertadores
"Dom., 6 de Dic.",Talleres (Córdoba),0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 2 de Dic.",Internacional,0 - 1Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Dom., 29 de Nov.",Boca Juniors,2 - 0,Newell's Old Boys,Finalizado,Liga Profesional de Argentina
"Vie., 20 de Nov.",Boca Juniors,1 - 2,Lanús,Finalizado,Liga Profesional de Argentina
"Dom., 15 de Nov.",Boca Juniors,0 - 1,Talleres (Córdoba),Finalizado,Liga Profesional de Argentina
"Dom., 8 de Nov.",Newell's Old Boys,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Sáb., 31 de Oct.",Lanús,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Jue., 22 de Oct.",Boca Juniors,3 - 0,Caracas FC,Finalizado,CONMEBOL Libertadores
,,,,,
"Mar., 29 de Sep.",Boca Juniors,0 - 0,Libertad,Finalizado,CONMEBOL Libertadores
"Jue., 24 de Sep.",Independiente Medellín,0 - 1,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Jue., 17 de Sep.",Libertad,0 - 2,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Sáb., 14 de Mar.",Godoy Cruz Antonio Tomba,1 - 4,Boca Juniors,Finalizado,Copa Superliga de Argentina
"Mar., 10 de Mar.",Boca Juniors,3 - 0,Independiente Medellín,Finalizado,CONMEBOL Libertadores
"Mar., 3 de Mar.",Caracas FC,1 - 1,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Dom., 19 de Ene.",Boca Juniors,3 - 1,Athletico-PR,Finalizado,Amistoso
"Jue., 16 de Ene.",Boca Juniors,2 - 0,Universitario,Finalizado,Amistoso
