0,1,2,3,4,5
,,,,,
"Dom., 26 de Nov.",Godoy Cruz Antonio Tomba,1 - 2,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 22 de Nov.",Boca Juniors,2 - 3,Estudiantes de La Plata,Finalizado,Copa Argentina
"Dom., 12 de Nov.",Boca Juniors,1 - 0,Newell's Old Boys,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 8 de Nov.",San Lorenzo,1 - 1,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Sáb., 4 de Nov.",Boca Juniors,1 - 2,Fluminense,AET,CONMEBOL Libertadores
,,,,,
"Sáb., 28 de Oct.",Boca Juniors,0 - 0,Estudiantes de La Plata,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 24 de Oct.",Racing Club,2 - 1,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Vie., 20 de Oct.",Boca Juniors,2 - 1,Unión (Santa Fe),Finalizado,Argentine Copa de la Liga Profesional
"Dom., 15 de Oct.",Talleres (Córdoba),1 - 1Boca Juniors ganó 4-1 en penales,Boca Juniors,Final - Pen,Copa Argentina
"Mar., 10 de Oct.",Belgrano (Córdoba),4 - 3,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Jue., 5 de Oct.",Palmeiras,1 - 1Vuelta · Empate 1-1 en marcador global · Boca Juniors ganó 4-2 en penales,Boca Juniors,Final - Pen,CONMEBOL Libertadores
"Dom., 1 de Oct.",Boca Juniors,0 - 2,River Plate,Finalizado,Argentine Copa de la Liga Profesional
,,,,,
"Jue., 28 de Sep.",Boca Juniors,0 - 0Ida,Palmeiras,Finalizado,CONMEBOL Libertadores
"Sáb., 23 de Sep.",Boca Juniors,1 - 1,Lanús,Finalizado,Argentine Copa de la Liga Profesional
"Mar., 19 de Sep.",Central Córdoba (Santiago del Estero),0 - 3,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
