0,1,2,3,4,5
"Vie., 15 de Sep.",Defensa y Justicia,1 - 0,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Dom., 10 de Sep.",Almagro,2 - 2Boca Juniors ganó 4-3 en penales,Boca Juniors,Final - Pen,Copa Argentina
"Dom., 3 de Sep.",Boca Juniors,0 - 1,Tigre,Finalizado,Argentine Copa de la Liga Profesional
,,,,,
"Mié., 30 de Ago.",Racing Club,0 - 0Vuelta · Boca Juniors ganó 4-1 en penales,Boca Juniors,Final - Pen,CONMEBOL Libertadores
"Dom., 27 de Ago.",Sarmiento (Junín),1 - 0,Boca Juniors,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 23 de Ago.",Boca Juniors,0 - 0Ida,Racing Club,Finalizado,CONMEBOL Libertadores
"Vie., 18 de Ago.",Boca Juniors,3 - 1,Platense,Finalizado,Argentine Copa de la Liga Profesional
"Mié., 9 de Ago.",Boca Juniors,2 - 2Vuelta · Empate 2-2 en marcador global · Boca Juniors ganó 4-2 en penales,Nacional,Final - Pen,CONMEBOL Libertadores
"Mié., 2 de Ago.",Nacional,0 - 0Ida,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Sáb., 29 de Jul.",Independiente,0 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Lun., 24 de Jul.",Boca Juniors,2 - 1,Newell's Old Boys,Finalizado,Liga Profesional de Argentina
"Jue., 20 de Jul.",Barracas Central,1 - 2,Boca Juniors,Finalizado,Copa Argentina
"Dom., 16 de Jul.",Gimnasia La Plata,1 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Lun., 10 de Jul.",Boca Juniors,1 - 0,Huracán,Finalizado,Liga Profesional de Argentina
"Jue., 6 de Jul.",Unión (Santa Fe),0 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 2 de Jul.",Boca Juniors,2 - 0,Sarmiento (Junín),Finalizado,Liga Profesional de Argentina
,,,,,
"Jue., 29 de Jun.",Boca Juniors,4 - 0,Monagas SC,Finalizado,CONMEBOL Libertadores
"Jue., 22 de Jun.",Godoy Cruz Antonio Tomba,4 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Sáb., 10 de Jun.",Boca Juniors,1 - 1,Lanús,Finalizado,Liga Profesional de Argentina
"Mar., 6 de Jun.",Boca Juniors,1 - 0,Colo Colo,Finalizado,CONMEBOL Libertadores
"Jue., 1 de Jun.",Arsenal Sarandi,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 28 de May.",Boca Juniors,1 - 0,Tigre,Finalizado,Liga Profesional de Argentina
"Mié., 24 de May.",Deportivo Pereira,1 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Vie., 19 de May.",Argentinos Juniors,0 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 14 de May.",Boca Juniors,2 - 0,Belgrano (Córdoba),Finalizado,Liga Profesional de Argentina
"Dom., 7 de May.",River Plate,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mié., 3 de May.",Colo Colo,0 - 2,Boca Juniors,Finalizado,CONMEBOL Libertadores
,,,,,
"Sáb., 29 de Abr.",Boca Juniors,3 - 1,Racing Club,Finalizado,Liga Profesional de Argentina
"Dom., 23 de Abr.",Rosario Central,2 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Mar., 18 de Abr.",Boca Juniors,2 - 1,Deportivo Pereira,Finalizado,CONMEBOL Libertadores
"Sáb., 15 de Abr.",Boca Juniors,0 - 1,Estudiantes de La Plata,Finalizado,Liga Profesional de Argentina
"Mié., 12 de Abr.",San Lorenzo,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 9 de Abr.",Boca Juniors,1 - 2,Colón (Santa Fe),Finalizado,Liga Profesional de Argentina
"Jue., 6 de Abr.",Monagas SC,0 - 0,Boca Juniors,Finalizado,CONMEBOL Libertadores
"Sáb., 1 de Abr.",Barracas Central,0 - 3,Boca Juniors,Finalizado,Liga Profesional de Argentina
,,,,,
"Sáb., 25 de Mar.",Boca Juniors,2 - 1,Olimpo,Finalizado,Copa Argentina
"Dom., 19 de Mar.",Boca Juniors,2 - 3,Instituto (Córdoba),Finalizado,Liga Profesional de Argentina
"Dom., 12 de Mar.",Banfield,1 - 0,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Lun., 6 de Mar.",Boca Juniors,0 - 0,Defensa y Justicia,Finalizado,Liga Profesional de Argentina
,,,,,
"Sáb., 25 de Feb.",Vélez Sarsfield,1 - 2,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 19 de Feb.",Boca Juniors,3 - 1,Platense,Finalizado,Liga Profesional de Argentina
"Sáb., 11 de Feb.",Talleres (Córdoba),2 - 1,Boca Juniors,Finalizado,Liga Profesional de Argentina
"Dom., 5 de Feb.",Boca Juniors,0 - 0,Central Córdoba (Santiago del Estero),Finalizado,Liga Profesional de Argentina
,,,,,
"Dom., 29 de Ene.",Boca Juniors,1 - 0,Atlético Tucumán,Finalizado,Liga Profesional de Argentina
"Vie., 13 de Ene.",Boca Juniors,0 - 0,Everton CD,Finalizado,Amistoso
"Sáb., 7 de Ene.",Boca Juniors,0 - 0,Independiente,Finalizado,Amistoso
